ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Altitude,Latitude Decimal Degrees,Longitude Decimal Degrees
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,6,4,54,S,145,23,30,E,1610,-6.082,145.392
AYLA,LAE,,LAE,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0,0.0,0.0
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,5,12,25,S,145,47,19,E,7,-5.207,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,5,49,34,S,144,17,46,E,1643,-5.826,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,6,34,11,S,146,43,34,E,73,-6.57,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,9,26,36,S,147,13,12,E,45,-9.443,147.22
AYRB,RAB,,RABAUL,PAPUA NEW GUINEA,0,0,0,U,0,0,0,U,0,0.0,0.0
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,3,35,1,S,143,40,9,E,6,-3.584,143.669
BGAM,,,ANGMAGSSALIK,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGAS,,,ANGISSOQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGAT,,,APUTITEQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61,9,40,N,45,25,39,W,35,61.161,-45.427
BGCH,JCH,,CHRISTIANSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGCO,,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70,44,22,N,22,38,45,W,14,70.739,-22.646
BGDB,,,DANEBORG,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGDH,,,DANMARKSHAVN,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGDU,,,DUNDAS,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGEM,JEG,,EGEDESMINDE,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGFD,,,FREDERIKSDAL,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGFH,JFR,,FREDERIKSHAAB,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGGD,JGR,,GRONNEDAL,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64,11,27,N,51,40,41,W,87,64.191,-51.678
BGGN,JGO,,GODHAVN,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGHB,JHS,,HOLSTEINSBORG,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGIS,,,ISORTOQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGIT,,,IVIGTUT,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGJH,JJU,,JULIANEHAAB,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69,14,0,N,51,4,0,W,34,69.233,-51.067
BGKD,,,KAP DAN,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65,35,0,N,37,9,0,W,34,65.583,-37.15
BGKM,,,KUNGMIUT,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGKT,,,KAP TOBIN,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGMV,,,MESTERS VIG,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGNN,JNN,,NANORTALIK,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGNS,JNS,,NARSSAQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGOS,,,ORSSUIORSSUAQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGPC,,,PRINS CHRISTIAN SUND,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGRS,,,RAVNS STORO,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGSC,,,SCORESBYSUND,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67,1,1,N,50,41,21,W,51,67.017,-50.689
BGSG,,,SERMILIGAO,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGST,JSU,,SUKKERTOPPEN,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76,31,52,N,68,42,11,W,77,76.531,-68.703
BGTM,,,TINGMIARMIUT,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGTN,,,TINITEQILAQ,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
BGUM,,,UMANAK,GREENLAND,0,0,0,U,0,0,0,U,0,0.0,0.0
